Geneid	SRR1554536(Adult 1)	SRR2071347(Adult 1)	SRR1554539(Adult 2)	SRR2071350(Adult 2)	SRR15545534(Adult 3)	SRR2071345(Adult 3)	SRR1554537(Fetus 1)	SRR2071348(Fetus 1)	SRR1554566(Fetus 2)	SRR2071377(Fetus 2)	SRR1554567(Fetus 3)	SRR2071378(Fetus 3)
NM_000299	0	0	0	0	0	0	0	0	0	0	0	0
NM_001276351	0	0	0	0	0	0	0	0	0	0	0	0
NM_001276352	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005337	0	0	0	0	0	0	0	0	0	0	0	0
NR_075077	0	0	0	0	0	0	0	0	0	0	0	0
NM_001281956	1	1	28	31	12	13	287	567	76	80	135	152
NM_001042681	0	0	0	0	0	0	0	0	0	0	0	0
NR_038261	0	0	1	1	0	0	2	4	0	1	0	0
NM_001042682	2	5	4	4	4	6	10	21	6	7	12	14
NM_052896	0	0	0	0	0	0	2	2	2	2	0	0
NM_012102	1	1	3	3	0	0	10	14	11	11	14	15
NM_001319683	0	0	0	0	0	0	0	0	0	0	0	0
NM_001320285	0	0	0	0	0	0	2	2	0	0	0	0
NM_001130058	0	0	0	0	0	0	0	0	0	0	0	0
NM_024686	0	0	0	0	0	0	0	0	0	0	0	0
NM_001320287	0	0	0	0	0	0	0	0	0	0	0	0
NR_135089	0	0	0	0	0	0	0	0	0	0	0	0
NM_152697	0	0	0	0	0	0	0	0	0	0	0	0
NM_001320283	2	2	1	1	3	4	93	217	12	13	36	40
NM_053274	0	0	0	0	0	0	0	0	0	0	0	0
NM_001350214	0	0	0	0	0	0	2	2	0	0	0	0
NM_006699	1141	1585	7093	7470	2514	2708	8044	14967	6077	6384	9641	10082
NM_001350215	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001740	0	0	0	0	0	0	0	0	0	0	0	0
NR_126003	8	8	7	7	0	0	2	6	3	3	5	8
NM_001146191	0	0	0	0	0	0	0	0	0	0	0	0
NM_003568	197	279	213	229	304	325	544	1012	878	935	1251	1320
NM_030806	2260	3198	12107	12822	7207	7628	10907	19792	7939	8391	14743	15529
NM_024569	0	0	0	0	0	0	0	0	0	0	0	0
NM_001286644	0	0	0	0	0	0	0	0	0	0	0	0
NM_022457	0	0	0	0	0	0	0	3	0	0	1	2
NM_003953	7	6	11	8	3	2	28	43	22	21	19	19
NR_134509	0	0	0	0	0	0	0	0	0	0	0	0
NR_134510	0	0	1	2	0	0	0	0	0	0	0	0
NM_005525	0	0	0	0	1	1	0	0	0	0	0	0
NM_001350251	2	3	0	2	1	1	1	9	1	6	1	5
NM_001350249	0	0	0	0	0	0	0	1	0	0	0	0
NM_001350248	0	0	0	0	0	0	0	0	0	0	0	0
NM_001206741	0	0	0	0	0	0	0	0	0	0	0	0
NM_006642	0	0	0	0	0	0	0	0	0	0	0	0
NM_001350246	0	0	0	0	0	0	0	0	0	0	0	0
NM_001350247	0	0	0	0	0	0	0	0	0	0	0	0
NM_181755	0	0	0	0	0	0	0	0	0	0	0	0
NM_001242874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001364727	8	14	281	302	218	241	553	1149	422	454	365	419
NM_002744	0	1	9	10	4	4	8	14	6	5	0	0
NM_001349612	0	0	0	0	0	0	0	0	0	0	0	0
NM_022114	0	0	0	1	3	3	7	13	10	11	4	6
NM_001350806	0	0	0	0	0	0	0	0	0	0	0	0
NM_001349609	0	0	0	0	0	0	0	0	0	0	0	0
NM_181864	2	3	58	65	68	70	0	1	3	4	6	7
NM_001305275	25	37	51	62	46	57	227	494	112	142	156	188
NM_001349610	0	0	0	0	0	0	0	0	0	0	0	0
NM_001349608	0	0	0	0	0	0	0	0	0	0	0	0
NM_001350805	0	0	0	0	0	0	0	0	0	0	0	0
NM_199454	0	0	0	0	0	0	0	0	0	0	0	0
NR_146911	0	0	0	0	0	0	0	0	0	0	0	0
NM_015215	0	0	0	0	0	0	0	0	0	0	0	0
NM_007274	5	8	175	193	69	84	266	492	66	71	181	199
NM_001350804	0	0	2	3	1	1	4	10	1	1	5	4
NM_001350803	0	0	0	0	0	0	0	0	0	0	0	0
NM_001033581	0	0	0	0	0	0	0	0	0	0	0	0
NM_181865	0	0	0	0	0	0	0	0	0	0	0	0
NM_181866	0	1	5	6	3	4	2	4	0	0	3	3
NM_198576	0	0	0	0	0	0	0	0	0	0	0	0
NM_004753	100	153	53	68	105	123	63	124	83	94	78	92
NM_020780	363	576	706	790	886	991	25500	48103	18431	20373	10689	11822
NM_001319225	2	3	3	3	0	0	5	8	6	7	0	0
NM_015164	15070	22465	14306	15570	19584	21074	9015	16532	9508	10253	9059	9972
NM_001324370	4	5	0	0	0	0	0	0	0	0	0	0
NM_015209	0	0	0	0	0	0	0	0	0	0	0	0
NM_004565	486	735	1895	2071	2673	2926	1775	3342	2107	2303	2157	2363
NM_001370230	0	0	0	0	0	0	0	0	0	0	0	0
NM_201628	44	69	137	153	193	209	1323	2477	4032	4339	936	1012
NM_001319218	4	4	0	0	1	1	2	3	3	3	3	3
NM_001198801	0	0	0	0	2	2	6	10	12	13	9	9
NM_015013	0	0	0	0	0	0	0	0	0	0	0	0
NM_014589	0	0	0	0	0	0	0	0	0	0	1	1
NM_001198802	0	0	6	5	0	0	7	11	0	1	1	7
NM_001009999	0	0	2	2	0	0	27	46	9	10	23	23
NM_001161504	1	3	1	2	0	0	0	0	0	0	2	2
NM_001198803	0	0	5	7	7	8	10	13	17	18	18	19
